Time,Time Code,Country Name,Country Code,Average transaction cost of sending remittances from a specific country (%) [SI.RMT.COST.OB.ZS],Average transaction cost of sending remittances to a specific country (%) [SI.RMT.COST.IB.ZS],"Personal remittances, paid (current US$) [BM.TRF.PWKR.CD.DT]","Personal remittances, received (% of GDP) [BX.TRF.PWKR.DT.GD.ZS]","Personal remittances, received (current US$) [BX.TRF.PWKR.CD.DT]","Automated teller machines (ATMs) (per 100,000 adults) [FB.ATM.TOTL.P5]"
1971,YR1971,Bosnia and Herzegovina,BIH,..,..,..,..,..,..
1971,YR1971,Botswana,BWA,..,..,..,..,..,..
1971,YR1971,Brazil,BRA,..,..,..,..,..,..
1971,YR1971,British Virgin Islands,VGB,..,..,..,..,..,..
1971,YR1971,Brunei Darussalam,BRN,..,..,..,..,..,..
1971,YR1971,Bulgaria,BGR,..,..,..,..,..,..
1971,YR1971,Burkina Faso,BFA,..,..,..,..,..,..
1971,YR1971,Burundi,BDI,..,..,..,..,..,..
1971,YR1971,Cabo Verde,CPV,..,..,..,..,..,..
1971,YR1971,Cambodia,KHM,..,..,..,..,..,..
1971,YR1971,Cameroon,CMR,..,..,..,..,..,..
1971,YR1971,Canada,CAN,..,..,..,..,..,..
1971,YR1971,Cayman Islands,CYM,..,..,..,..,..,..
1971,YR1971,Central African Republic,CAF,..,..,..,..,..,..
1971,YR1971,Chad,TCD,..,..,..,..,..,..
1971,YR1971,Channel Islands,CHI,..,..,..,..,..,..
1971,YR1971,Chile,CHL,..,..,..,..,..,..
1971,YR1971,China,CHN,..,..,..,..,..,..
1971,YR1971,Colombia,COL,..,..,13038740.16,0.282154532792353,22065559.39,..
1971,YR1971,Comoros,COM,..,..,..,..,..,..
1971,YR1971,"Congo, Dem. Rep.",COD,..,..,..,..,..,..
1971,YR1971,"Congo, Rep.",COG,..,..,..,..,..,..
1971,YR1971,Costa Rica,CRI,..,..,..,..,..,..
1971,YR1971,Cote d'Ivoire,CIV,..,..,..,..,..,..
1971,YR1971,Croatia,HRV,..,..,..,..,..,..
1971,YR1971,Cuba,CUB,..,..,..,..,..,..
1971,YR1971,Curacao,CUW,..,..,..,..,..,..
1971,YR1971,Cyprus,CYP,..,..,..,..,..,..
1971,YR1971,Czech Republic,CZE,..,..,..,..,..,..
1971,YR1971,Denmark,DNK,..,..,..,..,..,..
1971,YR1971,Djibouti,DJI,..,..,..,..,..,..
1971,YR1971,Dominica,DMA,..,..,..,..,..,..
1971,YR1971,Dominican Republic,DOM,..,..,..,0.87008700870087,14500000,..
1971,YR1971,Ecuador,ECU,..,..,..,..,..,..
1971,YR1971,"Egypt, Arab Rep.",EGY,..,..,..,..,..,..
1971,YR1971,El Salvador,SLV,..,..,..,..,..,..
1971,YR1971,Equatorial Guinea,GNQ,..,..,..,..,..,..
1971,YR1971,Eritrea,ERI,..,..,..,..,..,..
1971,YR1971,Estonia,EST,..,..,..,..,..,..
1971,YR1971,Eswatini,SWZ,..,..,..,..,..,..
1971,YR1971,Ethiopia,ETH,..,..,..,..,..,..
1971,YR1971,Faroe Islands,FRO,..,..,..,..,..,..
1971,YR1971,Fiji,FJI,..,..,..,..,..,..
1971,YR1971,Finland,FIN,..,..,..,..,..,..
1971,YR1971,France,FRA,..,..,..,..,..,..
1971,YR1971,French Polynesia,PYF,..,..,..,..,..,..
1971,YR1971,Gabon,GAB,..,..,..,..,..,..
1971,YR1971,"Gambia, The",GMB,..,..,..,..,..,..
1971,YR1971,Georgia,GEO,..,..,..,..,..,..
1971,YR1971,Germany,DEU,..,..,2237634277,0.0839773954298228,209930938.7,..
1971,YR1971,Ghana,GHA,..,..,..,..,..,..
1971,YR1971,Gibraltar,GIB,..,..,..,..,..,..
1971,YR1971,Greece,GRC,..,..,..,..,..,..
1971,YR1971,Greenland,GRL,..,..,..,..,..,..
1971,YR1971,Grenada,GRD,..,..,..,..,..,..
1971,YR1971,Guam,GUM,..,..,..,..,..,..
1971,YR1971,Guatemala,GTM,..,..,..,..,..,..
1971,YR1971,Guinea,GIN,..,..,..,..,..,..
1971,YR1971,Guinea-Bissau,GNB,..,..,..,..,..,..
1971,YR1971,Guyana,GUY,..,..,..,..,..,..
1971,YR1971,Haiti,HTI,..,..,5400000.095,4.93384774531422,17899999.62,..
1971,YR1971,Honduras,HND,..,..,..,..,..,..
1971,YR1971,"Hong Kong SAR, China",HKG,..,..,..,..,..,..
1971,YR1971,Hungary,HUN,..,..,..,..,..,..
1971,YR1971,Iceland,ISL,..,..,..,..,..,..
1971,YR1971,India,IND,..,..,..,..,..,..
1971,YR1971,Indonesia,IDN,..,..,..,..,..,..
1971,YR1971,"Iran, Islamic Rep.",IRN,..,..,..,..,..,..
1971,YR1971,Iraq,IRQ,..,..,..,..,..,..
1971,YR1971,Ireland,IRL,..,..,..,..,..,..
1971,YR1971,Isle of Man,IMN,..,..,..,..,..,..
1971,YR1971,Israel,ISR,..,..,11000000,2.08589414087235,140000000,..
1971,YR1971,Italy,ITA,..,..,108243904.1,1.09648146693827,1367009399,..
1971,YR1971,Jamaica,JAM,..,..,..,..,..,..
1971,YR1971,Japan,JPN,..,..,..,..,..,..
1971,YR1971,Jordan,JOR,..,..,..,..,..,..
1971,YR1971,Kazakhstan,KAZ,..,..,..,..,..,..
1971,YR1971,Kenya,KEN,..,..,..,0.408234131213142,7260000.229,..
1971,YR1971,Kiribati,KIR,..,..,..,..,..,..
1971,YR1971,"Korea, Dem. People’s Rep.",PRK,..,..,..,..,..,..
1971,YR1971,"Korea, Rep.",KOR,..,..,..,..,..,..
1971,YR1971,Kosovo,XKX,..,..,..,..,..,..
1971,YR1971,Kuwait,KWT,..,..,..,..,..,..
1971,YR1971,Kyrgyz Republic,KGZ,..,..,..,..,..,..
1971,YR1971,Lao PDR,LAO,..,..,..,..,..,..
1971,YR1971,Latvia,LVA,..,..,..,..,..,..
1971,YR1971,Lebanon,LBN,..,..,..,..,..,..
1971,YR1971,Lesotho,LSO,..,..,..,..,..,..
1971,YR1971,Liberia,LBR,..,..,..,..,..,..
1971,YR1971,Libya,LBY,..,..,..,..,..,..
1971,YR1971,Liechtenstein,LIE,..,..,..,..,..,..
1971,YR1971,Lithuania,LTU,..,..,..,..,..,..
1971,YR1971,Luxembourg,LUX,..,..,..,..,..,..
1971,YR1971,"Macao SAR, China",MAC,..,..,..,..,..,..
1971,YR1971,Madagascar,MDG,..,..,..,..,..,..
1971,YR1971,Malawi,MWI,..,..,..,..,..,..
1971,YR1971,Malaysia,MYS,..,..,..,..,..,..
1971,YR1971,Maldives,MDV,..,..,..,..,..,..
1971,YR1971,Mali,MLI,..,..,..,..,..,..
1971,YR1971,Malta,MLT,..,..,3193259.478,6.87014270124364,18177015.3,..
1971,YR1971,Marshall Islands,MHL,..,..,..,..,..,..
1971,YR1971,Mauritania,MRT,..,..,..,..,..,..
1971,YR1971,Mauritius,MUS,..,..,..,..,..,..
1971,YR1971,Mexico,MEX,..,..,..,..,..,..
1971,YR1971,"Micronesia, Fed. Sts.",FSM,..,..,..,..,..,..
1971,YR1971,Moldova,MDA,..,..,..,..,..,..
1971,YR1971,Monaco,MCO,..,..,..,..,..,..
1971,YR1971,Mongolia,MNG,..,..,..,..,..,..
1971,YR1971,Montenegro,MNE,..,..,..,..,..,..
1971,YR1971,Morocco,MAR,..,..,..,..,..,..
1971,YR1971,Mozambique,MOZ,..,..,..,..,..,..
1971,YR1971,Myanmar,MMR,..,..,..,..,..,..
1971,YR1971,Namibia,NAM,..,..,..,..,..,..
1971,YR1971,Nauru,NRU,..,..,..,..,..,..
1971,YR1971,Nepal,NPL,..,..,..,..,..,..
1971,YR1971,Netherlands,NLD,..,..,243088134.8,0.455662524474415,203130355.8,..
1971,YR1971,New Caledonia,NCL,..,..,..,..,..,..
1971,YR1971,New Zealand,NZL,..,..,..,..,..,..
1971,YR1971,Nicaragua,NIC,..,..,..,..,..,..
1971,YR1971,Niger,NER,..,..,..,..,..,..
1971,YR1971,Nigeria,NGA,..,..,..,..,..,..
1971,YR1971,North Macedonia,MKD,..,..,..,..,..,..
1971,YR1971,Northern Mariana Islands,MNP,..,..,..,..,..,..
1971,YR1971,Norway,NOR,..,..,..,..,..,..
1971,YR1971,Oman,OMN,..,..,..,..,..,..
1971,YR1971,Pakistan,PAK,..,..,..,..,..,..
1971,YR1971,Palau,PLW,..,..,..,..,..,..
1971,YR1971,Panama,PAN,..,..,..,..,..,..
1971,YR1971,Papua New Guinea,PNG,..,..,..,..,..,..
1971,YR1971,Paraguay,PRY,..,..,..,..,..,..
1971,YR1971,Peru,PER,..,..,..,..,..,..
1971,YR1971,Philippines,PHL,..,..,..,..,..,..
1971,YR1971,Poland,POL,..,..,..,..,..,..
1971,YR1971,Portugal,PRT,..,..,..,..,..,..
1971,YR1971,Puerto Rico,PRI,..,..,..,..,..,..
1971,YR1971,Qatar,QAT,..,..,..,..,..,..
1971,YR1971,Romania,ROU,..,..,..,..,..,..
1971,YR1971,Russian Federation,RUS,..,..,..,..,..,..
1971,YR1971,Rwanda,RWA,..,..,..,..,..,..
1971,YR1971,Samoa,WSM,..,..,..,..,..,..
1971,YR1971,San Marino,SMR,..,..,..,..,..,..
1971,YR1971,Sao Tome and Principe,STP,..,..,..,..,..,..
1971,YR1971,Saudi Arabia,SAU,..,..,207273315.4,..,..,..
1971,YR1971,Senegal,SEN,..,..,..,..,..,..
1971,YR1971,Serbia,SRB,..,..,..,..,..,..
1971,YR1971,Seychelles,SYC,..,..,..,..,..,..
1971,YR1971,Sierra Leone,SLE,..,..,..,..,..,..
1971,YR1971,Singapore,SGP,..,..,..,..,..,..
1971,YR1971,Sint Maarten (Dutch part),SXM,..,..,..,..,..,..
1971,YR1971,Slovak Republic,SVK,..,..,..,..,..,..
1971,YR1971,Slovenia,SVN,..,..,..,..,..,..
1971,YR1971,Solomon Islands,SLB,..,..,..,..,..,..
1971,YR1971,Somalia,SOM,..,..,..,..,..,..
1971,YR1971,South Africa,ZAF,..,..,283822326.7,0.0756292192179939,15378211.98,..
1971,YR1971,South Sudan,SSD,..,..,..,..,..,..
1971,YR1971,Spain,ESP,..,..,..,..,..,..
1971,YR1971,Sri Lanka,LKA,..,..,..,..,..,..
1971,YR1971,St. Kitts and Nevis,KNA,..,..,..,..,..,..
1971,YR1971,St. Lucia,LCA,..,..,..,..,..,..
1971,YR1971,St. Martin (French part),MAF,..,..,..,..,..,..
1971,YR1971,St. Vincent and the Grenadines,VCT,..,..,..,..,..,..
1971,YR1971,Sudan,SDN,..,..,..,..,..,..
1971,YR1971,Suriname,SUR,..,..,..,..,..,..
1971,YR1971,Sweden,SWE,..,..,27312248.23,0.0281603558425733,11705249.79,..
